kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Boleslav I.?;český kníže;moravský markrabě;polský král;uherský kníže;A;2;Boleslav I. zavraždil svého bratra Václava a je přezdíván Ukrutný.
Historie;Ve kterém roce proběhla bitva u Moravského pole?;1278;1280;1275;1282;A;3;V této bitvě padl Přemysl Otakar II. a Čechy ztratily alpské země.
Historie;Kdo byl Jan Lucemburský?;český král;moravský markrabě;slezský kníže;uherský král;A;2;Jan Lucemburský byl slepý a padl v bitvě u Kresčaku roku 1346.
Historie;Kdy vznikla Jednota bratrská?;1457;1450;1460;1470;A;3;Jednota bratrská navázala na učení Petra Chelčického.
Historie;Kdo byl Petr Chelčický?;náboženský myslitel;vojevůdce;malíř;básník;A;3;Chelčický hlásal nenásilí a inspiroval vznik Jednoty bratrské.
Historie;Ve kterém roce byla bitva u Austerlitz?;1805;1800;1810;1815;A;2;Bitva tří císařů se odehrála u Slavkova na Moravě.
Historie;Kdo byl Albrecht z Valdštejna?;vojevůdce;básník;malíř;architekt;A;2;Valdštejn byl nejbohatším šlechticem své doby a velel císařským vojskům.
Historie;Kdy bylo založeno Národní muzeum?;1818;1820;1815;1825;A;3;Národní muzeum bylo založeno jako Vlastenecké muzeum v Čechách.
Historie;Kdo založil Sokol?;Miroslav Tyrš;Jan Neruda;František Palacký;Karel Havlíček Borovský;A;2;Sokol byl založen v roce 1862 a stal se symbolem českého národního hnutí.
Historie;Ve kterém roce proběhl Heydrichiáda?;1942;1941;1943;1940;A;2;Po atentátu na Heydricha byly vyhlazeny obce Lidice a Ležáky.
Historie;Kdo byl Karel Havlíček Borovský?;novinář a politik;malíř;hudebník;voják;A;1;Havlíček byl vyhnancem v Brixenu a je zakladatelem české žurnalistiky.
Historie;Kdy byla založena Česká národní banka?;1993;1990;1989;1995;A;3;
Historie;Kdo byl Václav II.?;český a polský král;moravský markrabě;slezský kníže;uherský kníže;A;3;Václav II. nechal razit pražské groše, jednu z nejstabilnějších měn středověku.
Historie;Ve kterém roce byla podepsána Česko-německá deklarace?;1997;1995;2000;1990;A;3;
Historie;Kdo byl Zikmund Lucemburský?;český a uherský král;moravský markrabě;polský kníže;rakouský vévoda;A;3;Zikmund byl synem Karla IV. a Češi ho považovali za nepřítele kvůli upálení Husa.
Historie;Kdy byl založen Český rozhlas?;1923;1920;1925;1930;A;3;První pravidelné rozhlasové vysílání začalo z Prahy-Vinohrad.
Historie;Kdo byl první český král?;Vratislav II.;Přemysl Otakar I.;Václav I.;Boleslav I.;A;3;Vratislav II. získal královský titul v roce 1085.
Historie;Ve kterém roce byl ustaven Protektorát Čechy a Morava?;1939;1938;1940;1941;A;2;
Historie;Kdo byl Reinhard Heydrich?;nacistický protektor;německý generál;rakouský politik;maďarský voják;A;2;Heydrich byl jedním z hlavních architektů holocaustu.
Historie;Kdy byla založena Česká televize?;1953;1950;1955;1960;A;3;První televizní vysílání v Československu začalo 1. května 1953.
Zeměpis;Které město je známé jako Hanácká metropole?;Olomouc;Prostějov;Přerov;Kroměříž;A;2;Olomouc má druhé největší historické centrum v ČR po Praze.
Zeměpis;Kde se nachází Blaník?;střední Čechy;jižní Morava;severní Čechy;východní Čechy;A;2;Podle legendy v Blaníku spí vojsko svatého Václava.
Zeměpis;Kolik procent ČR tvoří zemědělská půda?;přibližně 54%;přibližně 40%;přibližně 60%;přibližně 70%;A;2;
Zeměpis;Které město leží na řece Ohři?;Karlovy Vary;Plzeň;Ústí nad Labem;Liberec;A;1;
Zeměpis;Kde se nachází Teplické skály?;Adršpach;České Švýcarsko;Český ráj;Moravský kras;A;2;Teplické skály spolu s Adršpašskými skalami tvoří největší skalní město ve střední Evropě.
Zeměpis;Jaká je nejvyšší hora Jeseníků?;Praděd;Keprník;Šerák;Petrovy kameny;A;1;Na Pradědu stojí televizní vysílač vysoký 146 metrů.
Zeměpis;Kde leží město Kutná Hora?;Středočeský kraj;Pardubický kraj;Královéhradecký kraj;Vysočina;A;1;Kutná Hora byla ve středověku druhým nejbohatším městem v Čechách díky stříbru.
