kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Mojmír I.?;velkomoravský kníže;český kníže;polský král;uherský kníže;A;3;Mojmír I. založil Velkomoravskou říši sjednocením moravských kmenů.
Historie;Ve kterém roce byla bitva na Moravském poli?;1278;1280;1275;1270;A;2;V bitvě padl Přemysl Otakar II. a Čechy ztratily alpské země.
Historie;Kdo byl Sámo?;franský kupec a vládce;český kníže;moravský markrabě;polský král;A;3;Sámo vytvořil první slovanský státní útvar ve střední Evropě kolem roku 623.
Historie;Kdy existovala Sámova říše?;7. století;8. století;6. století;9. století;A;3;
Historie;Kdo byl Metoděj?;věrozvěst a arcibiskup;vojevůdce;básník;malíř;A;1;Metoděj byl bratrem Cyrila a působil na Velké Moravě.
Historie;Ve kterém roce přišli Cyril a Metoděj na Moravu?;863;860;865;870;A;1;Přinesli s sebou hlaholici a přeložili bibli do staroslověnštiny.
Historie;Kdo byl Cyril?;věrozvěst a filosof;vojevůdce;básník;malíř;A;1;Cyril vytvořil hlaholici, první slovanské písmo.
Historie;Kdy zemřel Cyril?;869;870;865;875;A;3;Cyril zemřel v Římě a byl pohřben v bazilice sv. Klimenta.
Historie;Kdo byl Gorazd?;Metodějův nástupce;vojevůdce;básník;malíř;A;3;Gorazd byl prvním slovanským arcibiskupem.
Historie;Ve kterém roce byl zrušen Metodějův arcibiskupský stolec?;885;880;890;900;A;4;
Historie;Kdo byl Libice?;sídlo Slavníkovců;moravské město;polský hrad;uherská pevnost;A;2;Na Libici došlo k vyvraždění Slavníkovců v roce 995.
Historie;Kdy byli vyvražděni Slavníkovci?;995;990;1000;985;A;2;Slavníkovci byli konkurenty Přemyslovců o moc v Čechách.
Historie;Kdo byl svatý Vojtěch?;biskup a misionář;vojevůdce;básník;malíř;A;1;Vojtěch byl zavražděn při misii v Prusku a stal se patronem Čech.
Historie;Ve kterém roce zemřel svatý Vojtěch?;997;995;1000;990;A;2;Vojtěch byl zavražděn pohanskými Prusy.
Historie;Kdo byl Břetislav II.?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;
Historie;Kdy proběhl Břetislavův vpád do Polska?;1038;1040;1035;1045;A;3;Břetislav I. dobyl Krakov a přivezl ostatky sv. Vojtěcha.
Historie;Kdo byl Spytihněv I.?;český kníže;moravský markrabě;polský král;uherský kníže;A;4;
Historie;Ve kterém roce vznikla Česká koruna?;1348;1350;1345;1355;A;2;Karel IV. spojil České království s vedlejšími zeměmi.
Historie;Kdo byl Jan Milíč z Kroměříže?;kazatel a reformátor;vojevůdce;básník;malíř;A;3;Milíč byl předchůdcem Jana Husa v kritice církve.
Historie;Kdy vznikla Betlémská kaple?;1391;1390;1395;1400;A;3;V Betlémské kapli kázal Jan Hus v češtině.
Zeměpis;Které město je známé jako Brána do Čech?;Domažlice;Plzeň;Cheb;Tachov;A;2;Domažlice leží na historické hranici s Bavorskem.
Zeměpis;Kde se nachází Stolová hora?;Broumovsko;České Švýcarsko;Český ráj;Kokořínsko;A;1;Stolová hora má charakteristický plochý vrchol.
Zeměpis;Kolik procent ČR odvodňuje Morava?;přibližně 27%;přibližně 20%;přibližně 35%;přibližně 15%;A;2;
Zeměpis;Které město leží na řece Ploučnici?;Česká Lípa;Liberec;Děčín;Ústí nad Labem;A;1;
Zeměpis;Kde se nachází Velká Fatra?;Slovensko, ne ČR;Beskydy;Jeseníky;Krkonoše;A;4;
Zeměpis;Jaká je nadmořská výška Klínovce?;1244 m;1300 m;1200 m;1150 m;A;2;Klínovec je nejvyšší hora Krušných hor.
Zeměpis;Kde leží město Jičín?;Královéhradecký kraj;Liberecký kraj;Pardubický kraj;Středočeský kraj;A;1;Jičín je bránou do Českého ráje.
Zeměpis;Která řeka protéká Pardubicemi?;Labe;Vltava;Chrudimka;Orlice;A;1;
Zeměpis;Kde se nachází Rabštejnská Lhota?;Pardubický kraj;Královéhradecký kraj;Středočeský kraj;Liberecký kraj;A;4;
Zeměpis;Kolik procent ČR zabírají orná půda?;přibližně 38%;přibližně 50%;přibližně 30%;přibližně 45%;A;2;
Zeměpis;Kde pramení řeka Cidlina?;Krkonoše;Orlické hory;Železné hory;Žďárské vrchy;A;3;
Zeměpis;Které město je centrem Karlovarského kraje?;Karlovy Vary;Cheb;Sokolov;Mariánské Lázně;A;1;
Zeměpis;Kde leží zámek Konopiště?;Středočeský kraj;Jihočeský kraj;Pardubický kraj;Plzeňský kraj;A;1;Konopiště bylo sídlem následníka trůnu Františka Ferdinanda d'Este.
Zeměpis;Kolik obyvatel má přibližně Ostrava?;290 tisíc;350 tisíc;250 tisíc;400 tisíc;A;2;
Zeměpis;Kde se nachází Říp?;Středočeský kraj;Ústecký kraj;Liberecký kraj;Pardubický kraj;A;1;Na Řípu podle legendy stanul praotec Čech.
Zeměpis;Která hora je dominantou Českého středohoří?;Milešovka;Říp;Sedlo;Bořeň;A;2;Milešovka je nejvyšší horou Českého středohoří.
Zeměpis;Kde leží město Mladá Boleslav?;Středočeský kraj;Liberecký kraj;Královéhradecký kraj;Pardubický kraj;A;1;V Mladé Boleslavi sídlí automobilka Škoda Auto.
Zeměpis;Kolik procent ČR tvoří vinice?;méně než 1%;přibližně 2%;přibližně 3%;přibližně 5%;A;2;Většina vinic se nachází na jižní Moravě.
Zeměpis;Kde se nachází Bílé Karpaty?;Zlínský kraj;Jihomoravský kraj;Moravskoslezský kraj;Olomoucký kraj;A;1;Bílé Karpaty jsou biosférickou rezervací UNESCO.
Zeměpis;Které město je hlavním městem Středočeského kraje?;Praha (sídlo úřadu);Kladno;Příbram;Mladá Boleslav;A;2;Středočeský kraj nemá vlastní krajské město, úřad sídlí v Praze.
Osobnosti;Kdo napsal Horor?;mnoho autorů;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Karel Škréta?;barokní malíř;sochař;architekt;hudebník;A;1;Škréta byl zakladatelem české barokní malby.
Osobnosti;Kdo napsal Bílou nemoc?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Bílá nemoc je antiválečné drama varující před fašismem.
Osobnosti;Kdo byl Václav Levý?;sochař;malíř;architekt;hudebník;A;2;Levý vytesal sochy do pískovcových skal v Liběchově.
Osobnosti;Kdo napsal Matku?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Matka je drama o ženě, která obětuje syny ve válce.
Osobnosti;Kdo byl Vojtěch Hynais?;malíř;sochař;architekt;hudebník;A;1;Hynais namaloval oponu Národního divadla.
Osobnosti;Kdo napsal Věc Makropulos?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Věc Makropulos zfilmoval Leoš Janáček jako operu.
Osobnosti;Kdo byl Julius Mařák?;malíř krajin;sochař;architekt;hudebník;A;2;Mařák byl mistrem české krajinářské malby.
Osobnosti;Kdo napsal Adam Stvořitel?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;2;
Osobnosti;Kdo byl Antonín Slavíček?;impresionistický malíř;sochař;architekt;hudebník;A;2;Slavíček zachytil českou krajinu impresionistickou technikou.
Osobnosti;Kdo napsal Ze života hmyzu?;Karel a Josef Čapkové;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Ze života hmyzu je satirická alegorie lidské společnosti.
Osobnosti;Kdo byl Jakub Schikaneder?;malíř;sochař;architekt;hudebník;A;2;Schikaneder maloval poetické noční výjevy Prahy.
Osobnosti;Kdo napsal Loupežník?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;2;
Osobnosti;Kdo byl Jan Preisler?;symbolistický malíř;sochař;architekt;hudebník;A;2;Preisler byl představitelem české secese.
Osobnosti;Kdo napsal Hordubal?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Hordubal je první část noetické trilogie.
Osobnosti;Kdo byl Joža Uprka?;moravský malíř;sochař;architekt;hudebník;A;2;Uprka maloval život a zvyky moravského lidu.
Osobnosti;Kdo napsal Povětroň?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Povětroň je druhá část noetické trilogie.
Osobnosti;Kdo byl František Bílek?;sochař a architekt;malíř;hudebník;básník;A;2;Bílek vytvořil sochu Jana Husa a vlastní vilu v Praze.
Osobnosti;Kdo napsal Obyčejný život?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Obyčejný život uzavírá noetickou trilogii.
Osobnosti;Kdo byl Stanislav Sucharda?;sochař;malíř;architekt;hudebník;A;2;Sucharda vytvořil pomník Palackého v Praze.
Kultura;Co je to čočková polévka?;polévka z čočky;druh masa;typ uzeniny;název sýra;A;1;Čočka se tradičně jí na Nový rok pro štěstí.
Kultura;Kdy se koná Bohemia Jazz Fest?;červenec;srpen;červen;září;A;1;Bohemia Jazz Fest je série koncertů na náměstích.
Kultura;Co je to buřt?;druh uzeniny;typ polévky;název sýra;druh pečiva;A;1;Buřty se tradičně grilují na táboráku.
Kultura;Jaký je tradiční chodský tanec?;chodský;polka;valčík;mazurka;A;1;
Kultura;Co je to párek?;druh uzeniny;typ polévky;název sýra;druh pečiva;A;1;Párek v rohlíku je typický český street food.
Kultura;Kdy se koná Sázava Fest?;srpen;červenec;červen;září;A;1;Sázava Fest je rockový festival u řeky Sázavy.
Kultura;Co je to klobása v housce?;street food;druh polévky;typ sýra;název dezertu;A;1;
Kultura;Jaký je tradiční jihočeský pokrm?;kulajda;svíčková;guláš;řízek;A;1;Kulajda je houbová polévka s koprem a vejcem.
Kultura;Co je to smažák?;smažený sýr;druh polévky;typ masa;název pečiva;A;1;Smažený sýr v housce je oblíbený český fast food.
Kultura;Kdy se koná Masters of Rock?;červenec;srpen;červen;září;A;1;Masters of Rock je metalový festival ve Vizovicích.
Kultura;Co je to chlebíček?;obložený chléb;druh polévky;typ uzeniny;název sýra;A;1;Chlebíčky jsou typické pro české oslavy a recepce.
Kultura;Jaký je tradiční plzeňský pokrm?;plzeňský guláš;svíčková;řízek;kulajda;A;2;
Kultura;Co je to tatarák?;syrové mleté maso;druh polévky;typ uzeniny;název sýra;A;1;Tatarský biftek se podává s topinkami a kořením.
Kultura;Kdy se koná Brutal Assault?;srpen;červenec;červen;září;A;1;Brutal Assault je metalový festival v Josefově.
Kultura;Co je to topinka?;opečený chléb;druh polévky;typ uzeniny;název sýra;A;1;Topinky se podávají s česnekem nebo tatarákem.
Kultura;Jaký je tradiční ostravský pokrm?;ostravská klobása;svíčková;guláš;řízek;A;3;
Kultura;Co je to pivní tácek?;podložka pod pivo;druh piva;typ sklenice;název hospody;A;1;Sbírání pivních tácků je populární koníček.
Kultura;Kdy se koná Benátská noc?;srpen;červenec;červen;září;A;2;Benátská noc je hudební festival v Liberci.
Kultura;Co je to hermelín?;nakládaný sýr;druh piva;typ uzeniny;název polévky;A;1;Hermelín se nakládá v oleji s kořením.
Kultura;Jaký je tradiční brněnský pokrm?;brněnské uzené;svíčková;guláš;řízek;A;3;
Sport;Kdo je nejúspěšnější český ragbista?;Jiří Tlustý;Pavel Bartoš;Martin Kovář;David Kořán;A;4;
Sport;Ve kterém sportu vynikl Michal Hubáček?;basketbal;volejbal;házená;florbal;A;2;
Sport;Kdo je Martin Kaut?;hokejista;fotbalista;tenista;atlet;A;1;Kaut hraje v NHL a reprezentoval ČR na MS.
Sport;Ve kterém městě sídlí házenkářský klub Karviná?;Karviná;Ostrava;Frýdek-Místek;Opava;A;1;
Sport;Kdo je nejúspěšnější český šermíř?;Alexander Choupenitch;Jakub Jurka;Jiří Beran;Martin Kůs;A;1;Choupenitch získal bronz na olympiádě v Tokiu 2020.
Sport;Ve kterém sportu vynikla Lucie Šafářová?;tenis;hokej;atletika;plavání;A;1;Šafářová vyhrála French Open ve čtyřhře a smíšené čtyřhře.
Sport;Kdo je Jakub Vrána?;hokejista;fotbalista;tenista;atlet;A;1;Vrána vyhrál Stanley Cup s Washingtonem v roce 2018.
Sport;Ve kterém městě se koná Carlsbad Academic?;Karlovy Vary;Praha;Brno;Plzeň;A;3;
Sport;Kdo je nejúspěšnější český triatlonista?;Jan Frodeno (německý původ);Tomáš Svoboda;Petr Vabroušek;Jiří Kletečka;A;4;
