kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Zbyněk Zajíc z Hazmburka?;pražský arcibiskup;vojevůdce;básník;malíř;A;4;Zbyněk nechal spálit Wycliffovy spisy a vedl spor s Janem Husem.
Historie;Ve kterém roce byla založena Jednota bratrská?;1457;1450;1460;1470;A;2;Jednota bratrská vznikla v Kunvaldu u Žamberka.
Historie;Kdo byl Petr z Mladoňovic?;Husův společník;vojevůdce;básník;malíř;A;3;Petr z Mladoňovic doprovázal Husa do Kostnice a sepsal zprávu o jeho smrti.
Historie;Kdy byla zrušena Jednota bratrská v českých zemích?;1627;1620;1630;1648;A;3;Obnovené zřízení zemské zakázalo nekatolická vyznání.
Historie;Kdo byl Jan Blahoslav?;biskup Jednoty bratrské;vojevůdce;malíř;architekt;A;2;Blahoslav přeložil Nový zákon do češtiny.
Historie;Ve kterém roce vyšla Bible kralická?;1579-1594;1570;1600;1550;A;2;Bible kralická je vrcholné dílo české renesanční literatury.
Historie;Kdo byl Daniel Adam z Veleslavína?;tiskař a nakladatel;vojevůdce;básník;malíř;A;3;Veleslavín vydával slovníky a encyklopedie.
Historie;Kdy byla založena Akademie výtvarných umění v Praze?;1799;1800;1790;1810;A;3;
Historie;Kdo byl Václav Matěj Kramerius?;nakladatel a novinář;malíř;hudebník;architekt;A;2;Kramerius založil Českou expedici a vydával české knihy.
Historie;Ve kterém roce vznikla první česká banka?;1824;1820;1830;1840;A;3;
Historie;Kdo byl František Ladislav Čelakovský?;básník a sběratel;malíř;hudebník;architekt;A;2;Čelakovský sbíral lidové písně a psal ohlasovou poezii.
Historie;Kdy vznikl Sokol?;1862;1860;1865;1870;A;1;Sokol založili Miroslav Tyrš a Jindřich Fügner.
Historie;Kdo byl Jindřich Fügner?;spoluzakladatel Sokola;básník;malíř;hudebník;A;2;Fügner financoval první sokolovnu v Praze.
Historie;Ve kterém roce byla založena Česká filharmonie?;1896;1890;1900;1895;A;2;Česká filharmonie poprvé vystoupila pod taktovkou Antonína Dvořáka.
Historie;Kdo byl Josef Kajetán Tyl?;dramatik a herec;malíř;hudebník;architekt;A;1;Tyl napsal text české hymny Kde domov můj.
Historie;Kdy byla poprvé uvedena píseň Kde domov můj?;1834;1830;1840;1835;A;2;Píseň zazněla ve hře Fidlovačka.
Historie;Kdo napsal hudbu k písni Kde domov můj?;František Škroup;Bedřich Smetana;Antonín Dvořák;Leoš Janáček;A;1;
Historie;Ve kterém roce vznikla Národní galerie?;1796;1800;1790;1810;A;3;Národní galerie byla založena jako Obrazárna Společnosti vlasteneckých přátel umění.
Historie;Kdo byl Václav Kliment Klicpera?;dramatik;malíř;hudebník;architekt;A;2;Klicpera psal veselohry a historická dramata.
Historie;Kdy byla otevřena první železnice v Čechách?;1828;1830;1825;1835;A;3;Koněspřežka spojila České Budějovice s Lincem.
Zeměpis;Které město je známé jako Město růží?;Růžová;Litoměřice;Most;Teplice;A;4;
Zeměpis;Kde se nachází Slavkovský les?;Karlovarský kraj;Plzeňský kraj;Ústecký kraj;Liberecký kraj;A;1;Slavkovský les je chráněná krajinná oblast mezi lázněmi.
Zeměpis;Kolik procent ČR tvoří zastavěné plochy?;přibližně 2%;přibližně 5%;přibližně 1%;přibližně 3%;A;2;
Zeměpis;Které město leží na řece Nise?;Liberec;Jablonec;Česká Lípa;Turnov;A;1;
Zeměpis;Kde se nachází Střední Povltaví?;Středočeský kraj;Jihočeský kraj;Vysočina;Plzeňský kraj;A;2;
Zeměpis;Jaká je nadmořská výška Velké Javořiny?;970 m;1000 m;950 m;900 m;A;2;Velká Javořina je nejvyšší horou Bílých Karpat.
Zeměpis;Kde leží město Frýdek-Místek?;Moravskoslezský kraj;Zlínský kraj;Olomoucký kraj;Jihomoravský kraj;A;1;
Zeměpis;Která řeka protéká Znojmem?;Dyje;Morava;Svratka;Jihlava;A;1;
Zeměpis;Kde se nachází Poodří?;Moravskoslezský kraj;Olomoucký kraj;Zlínský kraj;Jihomoravský kraj;A;1;Poodří je chráněná krajinná oblast podél řeky Odry.
Zeměpis;Kolik obyvatel má přibližně Olomouc?;100 tisíc;120 tisíc;80 tisíc;150 tisíc;A;2;
Zeměpis;Kde pramení řeka Jihlava?;Vysočina;Šumava;Beskydy;Jeseníky;A;1;
Zeměpis;Které město je centrem Pardubického kraje?;Pardubice;Chrudim;Svitavy;Ústí nad Orlicí;A;1;
Zeměpis;Kde leží hrad Pernštejn?;Vysočina;Jihomoravský kraj;Pardubický kraj;Olomoucký kraj;A;1;Pernštejn je jedním z nejzachovalejších hradů v Česku.
Zeměpis;Kolik metrů měří Zlatá koruna (hora)?;nezná se hora tohoto jména;500 m;600 m;700 m;A;4;
Zeměpis;Kde se nachází Podyjí?;Jihomoravský kraj;Jihočeský kraj;Vysočina;Zlínský kraj;A;1;Podyjí je nejmenší národní park v ČR.
Zeměpis;Která hora je nejvyšší v Rychlebských horách?;Smrk;Jeřáb;Sušina;Sokolí;A;3;
Zeměpis;Kde leží město Havířov?;Moravskoslezský kraj;Olomoucký kraj;Zlínský kraj;Jihomoravský kraj;A;1;Havířov je nejmladší město v ČR, založené v roce 1955.
Zeměpis;Kolik procent ČR leží pod 200 m n.m.?;přibližně 5%;přibližně 10%;přibližně 2%;přibližně 15%;A;2;
Zeměpis;Kde se nachází Bohemian Paradise?;Český ráj;České Švýcarsko;Šumava;Krkonoše;A;1;Bohemian Paradise je anglický název pro Český ráj.
Zeměpis;Které město je hlavním městem Královéhradeckého kraje?;Hradec Králové;Trutnov;Náchod;Jičín;A;1;
Osobnosti;Kdo napsal Hovorů k sobě?;Marcus Aurelius, ne Čech;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Otakar Ostrčil?;hudební skladatel a dirigent;malíř;básník;architekt;A;3;Ostrčil byl šéfdirigentem Národního divadla.
