kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Kosmas?;kronikář;vojevůdce;kníže;biskup;A;2;Kosmas napsal první českou kroniku v latině na počátku 12. století.
Historie;Ve kterém roce byla založena Praha?;není přesně známo, tradičně 8./9. století;1100;1200;900;A;3;Podle legendy založila Prahu kněžna Libuše.
Historie;Kdo byl Břetislav I.?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;Břetislav I. unesl svou budoucí manželku Jitku ze Schweinfurtu.
Historie;Kdy proběhla korunovace prvního českého krále?;1085;1100;1050;1200;A;3;
Historie;Kdo byl Spytihněv II.?;český kníže;moravský markrabě;polský král;slezský kníže;A;4;Spytihněv II. vyhnal z Čech všechny Němce.
Historie;Ve kterém roce byl založen klášter v Břevnově?;993;1000;980;1050;A;3;Břevnovský klášter je nejstarší mužský klášter v Čechách.
Historie;Kdo byla Svatá Ludmila?;babička sv. Václava;manželka Karla IV.;dcera Přemysla Otakara II.;sestra Jana Husa;A;1;Ludmila byla zavražděna na Tetíně a je patronkou Čech.
Historie;Kdy vznikla Charta 77?;1977;1975;1980;1968;A;2;Chartu 77 podepsali mimo jiné Václav Havel a Jan Patočka.
Historie;Kdo byl Prokop Holý?;husitský hejtman;básník;malíř;kněz;A;3;Prokop Holý vedl husitská vojska po smrti Jana Žižky.
Historie;Ve kterém roce proběhl Vítězný únor?;1948;1945;1950;1947;A;2;Únor 1948 znamenal nástup komunistů k moci v Československu.
Historie;Kdo byl Antonín Zápotocký?;komunistický prezident;prvorepublikový politik;generál;spisovatel;A;2;
Historie;Kdy byla vyhlášena nezávislost Slovenska (za 2. sv. války)?;1939;1938;1940;1941;A;3;
Historie;Kdo byl Jan Opletal?;student zastřelený nacisty;politik;voják;herec;A;2;Opletův pohřeb vyvolal studentské demonstrace vedoucí k uzavření vysokých škol.
Historie;Ve kterém roce byla podepsána Moskevská smlouva?;1970;1968;1972;1975;A;4;
Historie;Kdo byl Gustáv Husák?;komunistický prezident;slovenský básník;voják;sportovec;A;1;Husák byl posledním komunistickým prezidentem Československa.
Historie;Kdy bylo založeno Hradec Králové?;1225;1200;1250;1300;A;3;
Historie;Kdo byl Václav IV.?;český král;moravský markrabě;slezský kníže;polský král;A;2;Václav IV. byl synem Karla IV. a neúspěšným římským králem.
Historie;Ve kterém roce proběhla měnová reforma?;1953;1950;1955;1948;A;2;Měnová reforma 1953 připravila obyvatele o úspory.
Historie;Kdo byl Jiří Wolker?;básník;malíř;hudebník;politik;A;2;Wolker zemřel na tuberkulózu ve věku pouhých 24 let.
Historie;Kdy byla založena Slovenská republika (1993)?;1. ledna 1993;1. ledna 1992;1. ledna 1994;17. listopadu 1989;A;1;
Zeměpis;Které město je známé jako Athény Moravy?;Olomouc;Brno;Kroměříž;Znojmo;A;2;Olomouc má bohatou historii a byla hlavním městem Moravy.
Zeměpis;Kde se nachází Slavkovské bojiště?;jižní Morava;jižní Čechy;střední Čechy;severní Morava;A;1;U Slavkova se roku 1805 odehrála bitva tří císařů.
Zeměpis;Kolik procent ČR odvodňuje Dunaj?;přibližně 27%;přibližně 15%;přibližně 35%;přibližně 45%;A;3;Morava a Dyje odvádějí vodu do Dunaje.
Zeměpis;Které město leží na řece Svitavě?;Brno;Olomouc;Ostrava;Zlín;A;1;
Zeměpis;Kde se nachází Sloup?;Moravský kras;Český kras;Šumava;Krkonoše;A;2;Sloupsko-šošůvské jeskyně patří k nejnavštěvovanějším v ČR.
Zeměpis;Jaká je délka dálnice D1?;přes 370 km;přes 250 km;přes 400 km;přes 300 km;A;2;D1 je nejdelší a nejstarší dálnicí v Česku.
Zeměpis;Kde leží město Tábor?;jižní Čechy;střední Čechy;západní Čechy;východní Čechy;A;1;Tábor byl založen husity v roce 1420.
Zeměpis;Která řeka protéká Hradcem Králové?;Labe;Vltava;Morava;Ohře;A;1;V Hradci Králové se do Labe vlévá Orlice.
