kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Svatý Václav?;český kníže a patron;římský císař;husitský vojevůdce;moravský markrabě;A;1;Svatý Václav je patronem české země a jeho koruna je součástí korunovačních klenotů.
Historie;Ve kterém roce byl zavražděn Svatý Václav?;935;929;940;950;A;3;Václav byl zavražděn svým bratrem Boleslavem I. ve Staré Boleslavi.
Historie;Kdy vzniklo Československo jako federace?;1969;1968;1970;1993;A;3;
Historie;Kdo byl Václav Klaus?;prezident a ekonom;hokejista;herec;spisovatel;A;1;Klaus byl prvním předsedou české vlády po rozdělení Československa.
Historie;Kdy Česká republika vstoupila do NATO?;1999;2000;2004;1997;A;2;Česko vstoupilo do NATO společně s Polskem a Maďarskem.
Historie;Kdo byl Rudolf II.?;habsburský císař a sběratel;český král;husitský kazatel;moravský šlechtic;A;2;Rudolf II. přesunul císařský dvůr do Prahy a učinil ji kulturním centrem Evropy.
Historie;Ve kterém roce proběhla Ostravská operace?;1945;1944;1943;1946;A;3;
Historie;Kdo napsal Kosmovu kroniku?;Kosmas;Dalimil;Václav Hájek;Přibík Pulkava;A;2;Kosmova kronika je nejstarším dochovaným dílem české historiografie.
Historie;Kdy bylo založeno České království?;1198;1200;1158;1212;A;3;
Historie;Kdo byl Edvard Beneš?;prezident;voják;herec;spisovatel;A;1;Beneš byl prezidentem za 2. světové války v exilu v Londýně.
Historie;Ve kterém roce byla uzavřena Versailleská smlouva?;1919;1918;1920;1921;A;2;
Historie;Kdo byl Alexander Dubček?;slovenský politik;český prezident;voják;spisovatel;A;2;Dubček byl hlavní tváří Pražského jara 1968.
Historie;Kdy bylo založeno Staré Město pražské?;13. století;12. století;14. století;11. století;A;3;
Historie;Kdo byl Jan Hus?;náboženský reformátor;voják;básník;malíř;A;1;Jan Hus kázal v Betlémské kapli v Praze a kritizoval prodej odpustků.
Historie;Ve kterém roce byl založen Karlův most?;1357;1350;1360;1348;A;2;Karlův most byl postaven na místě staršího Juditina mostu, který strhla povodeň.
Historie;Kdy proběhla rekatolizace v českých zemích?;po roce 1620;před rokem 1618;v 18. století;v 19. století;A;2;
Historie;Kdo byl Ludvík Svoboda?;prezident a generál;básník;malíř;sportovec;A;2;Svoboda byl hrdinou 2. světové války a velel československým jednotkám v SSSR.
Historie;Ve kterém roce byla podepsána Pittsburská dohoda?;1918;1919;1917;1920;A;3;Pittsburská dohoda slibovala Slovákům autonomii v rámci společného státu.
Historie;Kdo byl Vladislav Jagellonský?;český a uherský král;moravský markrabě;slezský kníže;polský kníže;A;3;
Historie;Kdy byla Čechie poprvé zmíněna v písemných pramenech?;9. století;10. století;8. století;7. století;A;3;
Zeměpis;Kolik sousedních zemí má Česká republika?;4;5;3;6;A;1;
Zeměpis;Které pohoří se nachází na jihu Čech?;Šumava;Krkonoše;Beskydy;Jeseníky;A;1;Šumava je domovem vzácných druhů jako je rys ostrovid nebo tetřev hlušec.
Zeměpis;Jaká je přibližná délka hranic České republiky?;2290 km;1800 km;2500 km;3000 km;A;3;
Zeměpis;Které město je třetí největší v ČR?;Ostrava;Plzeň;Brno;Olomouc;A;1;
Zeměpis;Kde se nachází Boubín?;Šumava;Krkonoše;Beskydy;Jeseníky;A;2;Na Boubíně se nachází jeden z nejstarších pralesů ve střední Evropě.
Zeměpis;Která řeka protéká Českým Krumlovem?;Vltava;Labe;Morava;Berounka;A;1;Český Krumlov je zapsán na seznamu UNESCO díky své renesanční architektuře.
Zeměpis;Kolik národních parků má Česká republika?;4;3;5;6;A;2;Čtyři národní parky jsou: Krkonoše, Šumava, Podyjí a České Švýcarsko.
Zeměpis;Kde leží město Karlovy Vary?;západní Čechy;jižní Morava;severní Čechy;střední Čechy;A;1;Karlovy Vary jsou proslulé léčivými prameny, kterých je ve městě 12 hlavních.
Zeměpis;Která přehrada leží na Vltavě?;Slapy;Nechranice;Dalešice;Vranov;A;2;
Zeměpis;Kde se nachází Pravčická brána?;České Švýcarsko;Český ráj;Moravský kras;Šumava;A;1;Pravčická brána je největší přirozená skalní brána v Evropě.
Zeměpis;Které město je známé jako České Athény?;Kroměříž;Olomouc;Telč;Třebíč;A;3;
Zeměpis;Kolik procent ČR pokrývají lesy?;přibližně 34%;přibližně 25%;přibližně 40%;přibližně 50%;A;2;
Zeměpis;Kde pramení řeka Morava?;Králický Sněžník;Šumava;Beskydy;Krkonoše;A;2;Morava je nejdelší řekou na Moravě s délkou 354 km.
Zeměpis;Které město leží na soutoku Svitavy a Svratky?;Brno;Olomouc;Znojmo;Jihlava;A;2;
Zeměpis;Kde se nachází Koněpruské jeskyně?;Český kras;Moravský kras;Javoříčko;Šumava;A;2;V Koněpruských jeskyních byly nalezeny pravěké kosterní pozůstatky.
Zeměpis;Jaká je nejvyšší hora Beskyd?;Lysá hora;Radhošť;Smrk;Pustevny;A;2;
Zeměpis;Kde leží zámek Lednice?;jižní Morava;jižní Čechy;střední Čechy;severní Morava;A;1;Lednicko-valtický areál je jednou z největších komponovaných krajin světa.
Zeměpis;Které město je centrem Vysočiny?;Jihlava;Třebíč;Havlíčkův Brod;Pelhřimov;A;1;
Zeměpis;Kde se nachází Třeboňsko?;jižní Čechy;jižní Morava;střední Čechy;východní Čechy;A;1;Třeboňsko je známé rybníkářskou tradicí, která sahá do středověku.
Zeměpis;Kolik procent území ČR odvodňuje Labe?;přibližně 66%;přibližně 50%;přibližně 80%;přibližně 40%;A;3;
Osobnosti;Kdo napsal Povídky malostranské?;Jan Neruda;Karel Čapek;Božena Němcová;Alois Jirásek;A;1;Neruda žil na Malé Straně v domě U Dvou slunců.
Osobnosti;Kdo byl Leoš Janáček?;hudební skladatel;malíř;spisovatel;architekt;A;1;Janáček sbíral moravské lidové písně a zachytil jejich melodii i rytmus řeči.
Osobnosti;Která česká atletka vyhrála olympijské zlato v hodu diskem?;Věra Čáslavská nebyla diskařka - správně Barbora Špotáková v oštěpu;Helena Fibingerová;Dana Zátopková;Jarmila Kratochvílová;A;4;
Osobnosti;Kdo byl Jaroslav Seifert?;básník a nositel Nobelovy ceny;malíř;hudebník;herec;A;1;Seifert získal Nobelovu cenu za literaturu v roce 1984 jako jediný Čech.
Osobnosti;Kdo je autorem skladby Vltava?;Bedřich Smetana;Antonín Dvořák;Leoš Janáček;Bohuslav Martinů;A;1;Vltava je součástí cyklu symfonických básní Má vlast.
Osobnosti;Kdo byl Jan Werich?;herec a dramatik;malíř;hudebník;sportovec;A;1;Werich s Voskovcem založili Osvobozené divadlo v Praze.
Osobnosti;Kdo napsal Staré pověsti české?;Alois Jirásek;Karel Čapek;Božena Němcová;Jan Neruda;A;1;Jirásek shrnul české legendy od praotce Čecha po blanické rytíře.
Osobnosti;Kdo byl František Kupka?;malíř;hudebník;spisovatel;sochař;A;2;Kupka je považován za jednoho z průkopníků abstraktního umění.
Osobnosti;Kdo je autorem románu Žert?;Milan Kundera;Bohumil Hrabal;Josef Škvorecký;Ludvík Vaculík;A;2;Žert vyšel v roce 1967 a stal se bestsellerem ještě před Pražským jarem.
Osobnosti;Kdo byl Petr Bezruč?;slezský básník;moravský skladatel;český malíř;slovenský politik;A;2;Bezručova sbírka Slezské písně je protestem proti germanizaci Slezska.
Osobnosti;Kdo napsal hru R.U.R.?;Karel Čapek;Jaroslav Hašek;Josef Čapek;Jan Werich;A;1;Ve hře R.U.R. bylo poprvé použito slovo robot, které vymyslel Josef Čapek.
Osobnosti;Kdo byl Václav Neckář?;zpěvák a herec;politik;sportovec;vědec;A;1;
Osobnosti;Kdo je autorem Románu pro ženy?;Michal Viewegh;Milan Kundera;Bohumil Hrabal;Pavel Kohout;A;2;
Osobnosti;Kdo byl Josef Lada?;ilustrátor a malíř;hudebník;architekt;básník;A;1;Lada proslul ilustracemi k Haškovu Švejkovi a vánočními motivy.
Osobnosti;Kdo je Dana Zátopková?;olympijská oštěpařka;běžkyně;tenistka;gymnastka;A;1;Dana Zátopková vyhrála olympijské zlato ve stejný den jako její manžel Emil.
