kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost
Historie;Kdo byl Jiří z Poděbrad?;husitský král;lucemburský kníže;habsburský císař;přemyslovský kníže;A;2
Historie;Ve kterém roce byla vydána Jiříkova Bible?;1488;1500;1450;1520;A;3
Historie;Kdy se konal atentát na Reinharda Heydricha?;1942;1941;1943;1940;A;2
Historie;Kdo provedl atentát na Heydricha?;Gabčík a Kubiš;Balabán a Morávek;Mašín a Paumer;Šrámek a Kopecký;A;3
Historie;Ve kterém roce byla založena Zlatá ulička?;16. století;14. století;18. století;12. století;A;3
Historie;Kdy byl popraven Milada Horáková?;1950;1948;1952;1951;A;2
Historie;Kdo byl první arcibiskup pražský?;Arnošt z Pardubic;Jan z Jenštejna;Konrád z Vechty;Jan Očko z Vlašimi;A;3
Historie;Ve kterém roce proběhla pražská defenestrace?;1618;1620;1615;1625;A;2
Historie;Kdo napsal Dalimilovu kroniku?;neznámý autor;Kosmas;Dalimil;Václav Hájek;A;3
Historie;Kdy vznikla první Československá ústava?;1920;1918;1921;1919;A;3
Historie;Kdo byl Klement Gottwald?;komunistický prezident;prvorepublikový politik;odbojář;církevní hodnostář;A;2
Historie;Ve kterém roce se konala Zimní olympiáda v Praze?;nikdy se nekonala;1948;1960;1984;A;4
Historie;Kdy bylo založeno Brno?;1243;1200;1300;1150;A;3
Historie;Kdo byl Jan Palach?;student, který se upálil;politik;voják;zpěvák;A;1
Historie;Ve kterém roce zemřel Karel IV.?;1378;1380;1375;1370;A;3
Historie;Kdy proběhla bitva u Lipan?;1434;1420;1436;1438;A;3
Historie;Kdo byl posledním Přemyslovcem na českém trůnu?;Václav III.;Přemysl Otakar II.;Václav II.;Vladislav II.;A;3
Historie;Ve kterém roce bylo zrušeno nevolnictví v Čechách?;1781;1789;1800;1750;A;3
Historie;Kdo vydal patent o zrušení nevolnictví?;Josef II.;Marie Terezie;František Josef I.;Karel VI.;A;2
Historie;Kdy byla Praha osvobozena ve 2. světové válce?;9. května 1945;8. května 1945;10. května 1945;1. května 1945;A;2
Zeměpis;Které jezero je největší v České republice?;Lipno;Máchovo jezero;Rozkoš;Slapy;A;2
Zeměpis;Jak se jmenuje největší přehrada v ČR podle objemu?;Orlík;Lipno;Slapy;Vranov;A;3
Zeměpis;Kde se nachází České Švýcarsko?;severní Čechy;jižní Morava;západní Čechy;střední Čechy;A;1
Zeměpis;Která řeka tvoří část hranice s Německem?;Labe;Vltava;Morava;Dyje;A;2
Zeměpis;Jaká je nadmořská výška Sněžky?;1603 m;1502 m;1702 m;1450 m;A;2
Zeměpis;Které město je krajským městem Zlínského kraje?;Zlín;Uherské Hradiště;Kroměříž;Vsetín;A;2
Zeměpis;Kde se nachází nejnižší bod České republiky?;Hřensko;Děčín;Litoměřice;Ústí nad Labem;A;3
Zeměpis;Která hora je nejvyšší na Moravě?;Praděd;Lysá hora;Radhošť;Smrk;A;1
Zeměpis;Kolik UNESCO památek má Česká republika přibližně?;16;10;20;25;A;3
Zeměpis;Kde se nachází Terezín?;Ústecký kraj;Středočeský kraj;Liberecký kraj;Královéhradecký kraj;A;2
Zeměpis;Které město je známé jako Zlaté město?;Praha;Kutná Hora;Jihlava;Příbram;A;1
Zeměpis;Kde pramení řeka Labe?;Krkonoše;Šumava;Jeseníky;Beskydy;A;1
Zeměpis;Která řeka protéká Brnem?;Svratka;Morava;Dyje;Svitava;A;2
Zeměpis;Kde se nachází Babiččino údolí?;Ratibořice;Český ráj;Podyjí;Šumava;A;2
Zeměpis;Které město je hlavním městem Olomouckého kraje?;Olomouc;Přerov;Prostějov;Šumperk;A;1
Zeměpis;Kolik okresů má Česká republika?;77;65;80;90;A;3
Zeměpis;Kde leží Pustevny?;Beskydy;Krkonoše;Šumava;Jeseníky;A;2
Zeměpis;Která silnice je nejdelší dálnice v ČR?;D1;D5;D8;D11;A;2
Zeměpis;Kde se nachází Ještěd?;Liberec;Děčín;Trutnov;Jablonec;A;1
Zeměpis;Která řeka protéká Ostravou?;Ostravice;Morava;Odra;Bečva;A;2
Osobnosti;Kdo napsal Já, Mattoni?;Jaroslav Hutka;Karel Kryl;Jaromír Nohavica;Ivan Mládek;A;3
Osobnosti;Kdo byl Jan Ámos Komenský?;pedagog a filosof;malíř;hudebník;vojevůdce;A;1
Osobnosti;Která česká zpěvačka je známá jako Lucie?;Lucie Bílá;Lucie Vondráčková;Lucie Vondrášková;Lucka Šoralová;A;1
Osobnosti;Kdo byl Zdeněk Fibich?;hudební skladatel;malíř;básník;architekt;A;2
Osobnosti;Kdo napsal Máj?;Karel Hynek Mácha;Jan Neruda;Božena Němcová;Karel Čapek;A;1
Osobnosti;Kdo je autorem obrazu Slovanská epopej?;Alfons Mucha;Josef Čapek;František Kupka;Jan Zrzavý;A;1
Osobnosti;Kdo byl František Palacký?;historik a politik;hudebník;architekt;voják;A;2
Osobnosti;Která česká herečka hrála ve filmu Pelíšky?;Eva Holubová;Ivana Chýlková;Jiřina Bohdalová;Dana Medřická;A;2
Osobnosti;Kdo napsal Postřižiny?;Bohumil Hrabal;Milan Kundera;Karel Čapek;Jaroslav Seifert;A;2
Osobnosti;Kdo byl první český kardinál po roce 1989?;Miloslav Vlk;Dominik Duka;František Tomášek;Josef Beran;A;3
Osobnosti;Kdo je Zdeněk Svěrák?;scenárista a herec;režisér;zpěvák;malíř;A;1
Osobnosti;Který český zpěvák byl znám jako Zlatý slavík?;Karel Gott;Waldemar Matuška;Václav Neckář;Ivan Mládek;A;1
Osobnosti;Kdo napsal Obsluhoval jsem anglického krále?;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;Karel Čapek;A;2
Osobnosti;Kdo byl Vítězslav Nezval?;básník;malíř;sochař;architekt;A;2
Osobnosti;Kdo je autorem Čapkových ilustrací?;Josef Čapek;Alfons Mucha;František Kupka;Jan Zrzavý;A;2
Osobnosti;Kdo napsal Zahradníkův rok?;Karel Čapek;Bohumil Hrabal;Jan Neruda;Alois Jirásek;A;2
Osobnosti;Kdo byl Karel Kryl?;písničkář a básník;politik;herec;malíř;A;1
Osobnosti;Kdo objevil krevní skupiny?;Jan Janský;Otto Wichterle;Jaroslav Heyrovský;Antonín Holý;A;3
Osobnosti;Která česká spisovatelka napsala Divou Báru?;Božena Němcová;Karolina Světlá;Eliška Krásnohorská;Růžena Svobodová;A;2
Osobnosti;Kdo byl Antonín Holý?;chemik a virolog;fyzik;matematik;biolog;A;3
Kultura;Kdy se slaví Den vítězství?;8. května;9. května;1. května;5. května;A;1
Kultura;Co je to trdelník?;sladké pečivo;slané pečivo;polévka;salát;A;1
Kultura;Jaký je národní alkoholický nápoj Čechů?;pivo;víno;slivovice;rum;A;1
Kultura;Kdy se slaví Cyril a Metoděj?;5. července;6. července;28. září;17. listopadu;A;2
Kultura;Co je bramboráky?;placky z brambor;bramborový salát;bramborová polévka;bramborové knedlíky;A;1
Kultura;Jaký je tradiční český tanec?;polka;valčík;tango;mazurka;A;1
Kultura;Co je to svíčková?;omáčka se svíčkovou;druh svíčky;typ pečiva;druh polévky;A;1
Kultura;Které divadlo bylo otevřeno v roce 1883?;Národní divadlo;Stavovské divadlo;Divadlo Na Zábradlí;Vinohradské divadlo;A;2
Kultura;Co symbolizuje český lev?;sílu a odvahu;moudrost;štěstí;plodnost;A;1
Kultura;Kdy se peče velikonoční beránek?;o Velikonocích;o Vánocích;na Dušičky;na masopust;A;1
Kultura;Co je to posvícení?;slavnost po posvěcení kostela;druh jídla;typ tance;náboženský obřad;A;2
Kultura;Jaký je tradiční český vánoční ryba?;kapr;pstruh;candát;sumec;A;1
Kultura;Kdy se zdobí vánoční stromeček v Čechách?;24. prosince;23. prosince;25. prosince;1. prosince;A;1
Kultura;Co je to Mikuláš?;svátek 5./6. prosince;druh cukroví;typ koláče;název řeky;A;1
Kultura;Jaký je tradiční nápoj na silvestra?;šampaňské;pivo;medovina;svařák;A;2
Kultura;Co je to čertovské posvícení?;30. dubna;31. října;1. listopadu;24. prosince;A;3
Kultura;Které barvy má česká vlajka?;bílá, červená, modrá;bílá, červená;modrá, žlutá;zelená, bílá, červená;A;1
Kultura;Co je to vepřo knedlo zelo?;vepřové s knedlíky a zelím;druh polévky;typ salátu;název pečiva;A;1
Kultura;Kdy se koná Pražské jaro (festival)?;květen-červen;březen-duben;září-říjen;prosinec-leden;A;2
Kultura;Co je typické pro pálení čarodějnic?;vatry a ohně;stromečky;beránci;pomlázky;A;1
Sport;Kdo je Tomáš Berdych?;tenista;hokejista;fotbalista;plavec;A;1
Sport;Ve kterém roce vyhráli čeští fotbalisté Euro?;nikdy nevyhráli;1996;2004;1976;A;1
Sport;Kdo je nejúspěšnější český lyžař?;Kateřina Neumannová;Šárka Strachová;Ester Ledecká;Ondřej Bank;A;2
Sport;Kolik titulů vyhrál Jaromír Jágr v NHL?;2;3;4;1;A;2
Sport;Kdo je Ester Ledecká?;snowboardistka a lyžařka;tenistka;atletka;plavkyně;A;1
Sport;Ve kterém roce získala ČR bronz na fotbalovém Euru?;2004;1996;2000;2008;A;2
Sport;Kdo je Roman Šebrle?;desetibojař;oštěpař;diskař;sprinter;A;1
Sport;Ve kterém klubu hrál Pavel Nedvěd?;Juventus;AC Milan;Inter Milán;AS Řím;A;1
Sport;Kolikrát vyhrála Martina Navrátilová Wimbledon?;9;7;11;6;A;2
Sport;Kdo je David Pastrňák?;hokejista;fotbalista;tenista;basketbalista;A;1
Sport;Ve kterém roce se konalo MS v atletice v Praze?;nikdy se nekonalo;2015;2010;2005;A;4
Sport;Kdo je Barbora Krejčíková?;tenistka;běžkyně;plavkyně;gymnastka;A;1
Sport;Kolik olympijských medailí má Martina Sáblíková?;3;5;2;4;A;3
Sport;Kdo trénoval českou hokejovou reprezentaci v Naganu?;Ivan Hlinka;Slavomír Lener;Alois Hadamczik;Vladimír Růžička;A;2
Sport;Ve kterém městě sídlí fotbalový klub Slavia?;Praha;Brno;Plzeň;Liberec;A;1
Sport;Kdo je Jakub Vadlejch?;oštěpař;diskař;výškař;běžec;A;1
Sport;Kolik Grand Slamů vyhrála Petra Kvitová?;2;3;1;4;A;2
Sport;Kdo je Lukáš Krpálek?;judista;zápasník;boxer;taekwondista;A;1
Sport;Ve kterém sportu vynikl Dan Bárta?;vodní slalom;lyžování;plavání;atletika;A;4
Sport;Kdo je Ondřej Moravec?;biatlonista;běžec;lyžař;hokejista;A;2
