kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Otakar I. Přemysl?;český král;moravský markrabě;polský kníže;uherský král;A;3;Otakar I. získal pro české krále dědičný královský titul Zlatou bulou sicilskou.
Historie;Ve kterém roce byla založena Karlova univerzita?;1348;1350;1345;1355;A;1;Karlova univerzita je nejstarší univerzitou ve střední Evropě.
Historie;Kdo byl Oldřich z Rožmberka?;šlechtic a politik;básník;vojevůdce;kněz;A;4;Rožmberkové byli nejmocnějším rodem v jižních Čechách.
Historie;Kdy proběhla bitva u Domažlic?;1431;1420;1434;1428;A;3;U Domažlic husité porazili křižáckou výpravu pouhým zpěvem chorálu.
Historie;Kdo byl Petr Parléř?;architekt;malíř;sochař;hudebník;A;2;Parléř dokončil katedrálu sv. Víta a postavil Karlův most.
Historie;Ve kterém roce zemřel Jan Hus?;1415;1414;1416;1420;A;1;Jan Hus byl upálen v Kostnici jako kacíř.
Historie;Kdo byl Jeroným Pražský?;Husův spolubojovník;malíř;hudebník;vojevůdce;A;3;Jeroným byl upálen rok po Husovi ve stejném městě.
Historie;Kdy proběhla bitva u Sudoměře?;1420;1419;1421;1422;A;3;U Sudoměře zvítězil Jan Žižka poprvé nad katolickými vojsky.
Historie;Kdo byl Vilém z Rožmberka?;šlechtic a diplomat;vojevůdce;básník;kněz;A;3;Vilém z Rožmberka byl jedním z nejbohatších mužů Evropy své doby.
Historie;Ve kterém roce byla korunována Marie Terezie českou královnou?;1743;1740;1745;1750;A;3;Marie Terezie byla jedinou ženou na českém trůnu.
Historie;Kdo byl Josef Jungmann?;jazykovědec;malíř;hudebník;politik;A;2;Jungmann vytvořil česko-německý slovník a obohatil češtinu o nová slova.
Historie;Kdy proběhlo stavovské povstání?;1618-1620;1615-1618;1620-1625;1610-1615;A;2;Stavovské povstání začalo pražskou defenestrací.
Historie;Kdo byl Adam Michna z Otradovic?;barokní skladatel;malíř;architekt;básník;A;3;Michna napsal České mariánské muziky.
Historie;Ve kterém roce byla bitva u Chlumce?;1126;1100;1150;1200;A;4;
Historie;Kdo byl Matěj z Arrasu?;architekt;malíř;sochař;hudebník;A;3;Matěj z Arrasu začal stavět katedrálu sv. Víta.
Historie;Kdy proběhla selská rebelie na severní Moravě?;1821;1800;1830;1815;A;4;
