kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Boleslav II.?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;Boleslav II. je nazýván Pobožný a založil biskupství v Praze.
Historie;Ve kterém roce byla založena pražská biskupství?;973;980;960;1000;A;3;Pražské biskupství bylo prvním v Čechách.
Historie;Kdo byl Soběslav I.?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;Soběslav I. porazil německého krále Lothara v bitvě u Chlumce.
Historie;Kdy proběhla bitva u Loděnic?;1179;1150;1200;1180;A;4;
Historie;Kdo byl Vladislav I.?;český kníže;moravský markrabě;polský král;uherský kníže;A;4;
Historie;Ve kterém roce byla založena Olomouc?;1253;1200;1250;1300;A;3;
Historie;Kdo byl Bořivoj I.?;první historicky doložený Přemyslovec;moravský kníže;polský král;uherský kníže;A;2;Bořivoj přijal křest od Metoděje na Moravě.
Historie;Kdy proběhla bitva u Brůdku?;1619;1618;1620;1621;A;4;
Historie;Kdo byl Arnošt z Pardubic?;první pražský arcibiskup;básník;vojevůdce;malíř;A;2;Arnošt z Pardubic byl blízkým přítelem Karla IV.
Historie;Ve kterém roce byla vydána Lex Salica?;neplatí pro Čechy;1200;1300;1400;A;4;
Historie;Kdo byl Přemysl Otakar I.?;český král;moravský markrabě;polský kníže;uherský král;A;2;Přemysl Otakar I. získal dědičný královský titul.
Historie;Kdy vznikla Moravská církev?;863;850;870;880;A;3;Cyril a Metoděj přišli na Velkou Moravu v roce 863.
Historie;Kdo byl Svatopluk Moravský?;velkomoravský kníže;český kníže;polský král;uherský kníže;A;2;Svatopluk rozšířil Velkomoravskou říši na největší rozsah.
Historie;Ve kterém roce zanikla Velká Morava?;906;900;910;920;A;3;Velkou Moravu zničily nájezdy Maďarů.
Historie;Kdo byl Rostislav Moravský?;velkomoravský kníže;český kníže;polský král;uherský kníže;A;3;Rostislav pozval na Moravu Cyrila a Metoděje.
Historie;Kdy byla založena Stará Boleslav?;10. století;9. století;11. století;8. století;A;3;Ve Staré Boleslavi byl zavražděn svatý Václav.
Historie;Kdo byl Boleslav III.?;český kníže;moravský markrabě;polský král;uherský kníže;A;4;Boleslav III. byl sesazen a oslepen.
Historie;Ve kterém roce proběhl převrat proti Boleslavovi III.?;999;1000;998;1002;A;4;
Historie;Kdo byl Jaromír?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;
Historie;Kdy byla založena Sázava?;1032;1000;1050;1020;A;3;Sázavský klášter byl centrem slovanské liturgie.
Zeměpis;Které město je známé jako Královské věnné město?;Hradec Králové;Chrudim;Jaroměř;Dvůr Králové;A;2;Hradec Králové patřil českým královnám jako věno.
Zeměpis;Kde se nachází Adršpašské skály?;Broumovsko;České Švýcarsko;Český ráj;Kokořínsko;A;1;Adršpašsko-teplické skály jsou největším skalním městem ve střední Evropě.
Zeměpis;Kolik CHKO má Česká republika?;26;20;30;15;A;2;
Zeměpis;Které město leží na řece Moravě?;Olomouc;Brno;Zlín;Ostrava;A;1;
Zeměpis;Kde se nachází Javořičské jeskyně?;Olomoucký kraj;Jihomoravský kraj;Moravskoslezský kraj;Zlínský kraj;A;2;Javořičské jeskyně jsou známé krápníkovou výzdobou.
Zeměpis;Jaká je nadmořská výška Lysé hory?;1323 m;1400 m;1300 m;1250 m;A;2;Lysá hora je nejvyšší horou Beskyd.
Zeměpis;Kde leží město Příbram?;Středočeský kraj;Plzeňský kraj;Jihočeský kraj;Vysočina;A;1;Příbram byla centrem těžby stříbra a uranu.
Zeměpis;Která řeka protéká Českým Těšínem?;Olše;Ostravice;Odra;Opava;A;1;
Zeměpis;Kde se nachází Broumovské stěny?;Královéhradecký kraj;Pardubický kraj;Liberecký kraj;Olomoucký kraj;A;2;Broumovské stěny jsou impozantní pískovcový útvar.
Zeměpis;Kolik procent ČR pokrývají lesy jehličnaté?;přibližně 73% lesů;přibližně 50% lesů;přibližně 80% lesů;přibližně 60% lesů;A;3;
Zeměpis;Kde pramení řeka Opava?;Hrubý Jeseník;Nízký Jeseník;Oderské vrchy;Beskydy;A;2;
Zeměpis;Které město je centrem Jihočeského kraje?;České Budějovice;Tábor;Písek;Strakonice;A;1;
Zeměpis;Kde leží zámek Český Krumlov?;jižní Čechy;jižní Morava;Vysočina;střední Čechy;A;1;Český Krumlov má druhý největší zámecký komplex v ČR po Pražském hradu.
Zeměpis;Kolik metrů měří nejvyšší hora Beskyd?;1323 m;1400 m;1300 m;1250 m;A;2;
Zeměpis;Kde se nachází Porta Bohemica?;České středohoří;Krkonoše;Šumava;Beskydy;A;2;Porta Bohemica je průlom Labe přes České středohoří.
Zeměpis;Která hora je nejvyšší v Brdech?;Tok;Praha;Třemšín;Plešivec;A;3;
Zeměpis;Kde leží město Cheb?;Karlovarský kraj;Plzeňský kraj;Ústecký kraj;Středočeský kraj;A;1;Cheb leží na hranicích s Německem.
Zeměpis;Kolik řek pramení na Králickém Sněžníku?;3 (Morava, Lipka, Kladská Nisa);2;4;1;A;3;Králický Sněžník je důležitým rozvodím tří moří.
Zeměpis;Kde se nachází Železné hory?;Pardubický kraj;Královéhradecký kraj;Vysočina;Středočeský kraj;A;2;Železné hory jsou chráněná krajinná oblast.
Zeměpis;Které město je hlavním městem Kraje Vysočina?;Jihlava;Třebíč;Havlíčkův Brod;Pelhřimov;A;1;
Osobnosti;Kdo napsal Tři mušketýry?;Alexandre Dumas, ne Čech;Karel Čapek;Alois Jirásek;Jaroslav Hašek;A;4;
Osobnosti;Kdo byl Vít Stoss?;sochař a řezbář;malíř;architekt;hudebník;A;3;Vít Stoss vytvořil oltář v Krakově, ale působil i v Praze.
Osobnosti;Kdo napsal Staré pověsti české?;Alois Jirásek;Karel Čapek;Božena Němcová;Jan Neruda;A;1;Jirásek zachytil legendy od praotce Čecha po Blaník.
Osobnosti;Kdo byl Václav Brožík?;malíř;hudebník;sochař;architekt;A;1;Brožík namaloval monumentální plátno Mistr Jan Hus před koncilem.
Osobnosti;Kdo napsal Jak je důležité míti Filipa?;Oscar Wilde, ne Čech;Karel Čapek;Bohumil Hrabal;Jaroslav Hašek;A;4;
Osobnosti;Kdo byl Beneš Krabice z Weitmile?;kronikář;malíř;hudebník;vojevůdce;A;4;Beneš napsal kroniku za vlády Karla IV.
Osobnosti;Kdo napsal Zlou hodinu?;Gabriel García Márquez, ne Čech;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Václav Koranda mladší?;husitský kněz;malíř;hudebník;vojevůdce;A;4;
Osobnosti;Kdo napsal Popel a hvězdy?;Julius Zeyer;Karel Čapek;Alois Jirásek;Jaroslav Vrchlický;A;4;
Osobnosti;Kdo byl Zikmund Winter?;historik a spisovatel;malíř;hudebník;politik;A;3;Winter psal historické romány z pražského života.
Osobnosti;Kdo napsal Radúz a Mahulenu?;Julius Zeyer;Karel Čapek;Alois Jirásek;Božena Němcová;A;2;Radúz a Mahulena je pohádková hra s hudbou Josefa Suka.
Osobnosti;Kdo byl Josef Suk?;hudební skladatel;malíř;sochař;architekt;A;1;Suk byl zetěm Antonína Dvořáka a jeho žákem.
Osobnosti;Kdo napsal Vzpomínky?;mnoho autorů;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Petr Brandl?;barokní malíř;sochař;architekt;hudebník;A;2;Brandl maloval oltářní obrazy pro kostely v Čechách.
Osobnosti;Kdo napsal Peklo?;mnoho autorů;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Jan Kupecký?;barokní malíř;sochař;architekt;hudebník;A;3;Kupecký byl významný portrétista evropského baroka.
Osobnosti;Kdo napsal Bláznovu moudrost?;Oscar Wilde, ne Čech;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Ferdinand Maxmilián Brokof?;barokní sochař;malíř;architekt;hudebník;A;2;Brokof vytvořil sochy na Karlově mostě.
Osobnosti;Kdo napsal Drdovo dílo?;Jan Drda;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;1;
Osobnosti;Kdo byl Norbert Grund?;rokokový malíř;sochař;architekt;hudebník;A;3;Grund maloval drobné výjevy z venkovského života.
Kultura;Co je to česnečka?;česneková polévka;druh uzeniny;typ sýra;název pečiva;A;1;Česnečka je oblíbeným lékem na nachlazení.
Kultura;Kdy se koná Mezinárodní festival dokumentárních filmů v Jihlavě?;říjen;září;listopad;srpen;A;1;MFDF Jihlava je největší festival dokumentů ve střední Evropě.
Kultura;Co je to zelňačka?;zelná polévka;druh uzeniny;typ sýra;název pečiva;A;1;Zelňačka se vaří z kysaného zelí.
Kultura;Jaký je tradiční slezský tanec?;trojak;polka;valčík;mazurka;A;3;
Kultura;Co je to kulajda?;houbová polévka;druh masa;typ sýra;název pečiva;A;1;Kulajda je typická jihočeská polévka s koprem a vejcem.
Kultura;Kdy se koná Letní filmová škola v Uherském Hradišti?;červenec-srpen;červen;září;květen;A;1;Letní filmová škola je nejstarší filmový festival v ČR.
Kultura;Co je to dršťková polévka?;polévka z dršťek;druh masa;typ uzeniny;název sýra;A;1;Dršťky jsou hovězí předžaludky.
Kultura;Jaký je tradiční valašský tanec?;odzemek;polka;valčík;mazurka;A;2;Odzemek je mužský sólový tanec.
Kultura;Co je to hovězí vývar?;masová polévka;druh masa;typ uzeniny;název sýra;A;1;
